"respid","freq","female","age","inc","color","veh","worker","time","company","access","av_drive","av_pool","av_pickup","av_taxi","av_transit","av_bike","av_walk","age_18_24","age_25_34","age_35_44","age_45_54","age_55_64","age_65","inc_under30k","inc_30k_75k","inc_75k_100k","inc_over100k","time_mor_eve","time_once","time_weekend","freq_month","freq_week","freq_24days","freq_57days"
10834535004,1,1,4,2,0,1,2,4,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
10831795934,2,0,0,2,1,1,1,3,0,6,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10831791013,1,0,5,3,0,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
10831657488,1,1,4,2,0,2,1,4,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
10831474079,1,1,0,1,1,0,1,2,0,6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10831185488,4,1,1,1,0,1,2,0,0,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10831110953,3,1,3,2,1,1,1,4,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
10831106559,2,1,1,0,0,2,3,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10830469709,1,1,4,1,0,3,1,4,1,2,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
10830443592,1,0,3,3,0,2,2,1,0,5,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
10830359418,1,1,3,3,0,3,2,4,1,2,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
10830316013,1,1,2,1,1,1,4,2,0,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10830164347,1,1,4,1,0,2,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
10830078563,4,0,1,1,0,3,2,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10830046324,1,1,2,2,0,2,2,4,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10830038386,1,1,4,3,0,2,4,0,0,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10830004684,1,0,0,1,1,0,1,4,0,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
10829978643,2,0,2,0,0,0,1,2,0,4,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10829902092,1,0,1,1,0,1,2,0,1,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10829852511,1,0,5,3,0,2,0,0,1,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10828220099,1,0,2,3,0,2,2,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10827862426,1,0,5,3,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10827691428,4,0,1,1,0,0,1,0,1,6,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10827458423,3,0,3,3,0,2,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
10827176532,1,1,4,3,0,1,1,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10827134896,1,1,4,2,0,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
10826711110,1,1,5,1,0,1,0,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
10826675710,1,1,4,3,0,3,2,0,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10825920525,3,0,1,3,0,2,2,0,1,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10825880946,1,1,0,1,0,1,1,0,0,5,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10825856277,1,1,2,3,0,2,2,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10825540518,1,1,1,3,0,1,2,0,0,5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10825296423,3,1,4,2,0,2,2,0,0,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
10825095317,1,0,5,3,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10824783982,2,1,1,3,0,1,2,0,0,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
10824741224,1,1,2,2,0,1,2,3,0,2,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
10824514855,1,0,3,3,0,3,2,4,1,5,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
10824356563,1,1,2,2,0,2,2,0,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10824085616,4,0,2,3,0,1,2,3,0,5,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
10823830705,1,0,5,0,0,1,0,2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
10823378482,1,1,5,1,0,1,0,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
10823294449,1,0,4,3,0,2,2,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10823260198,1,1,4,3,0,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10823257439,1,1,1,2,0,2,2,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10823253964,1,1,4,3,0,4,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
10823104133,2,0,3,3,0,2,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
10823050134,1,1,5,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
10822969776,2,0,5,3,0,2,1,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
10822916667,2,0,4,3,0,2,2,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
10822769325,1,0,3,1,0,1,1,2,1,6,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
10822757027,1,0,4,2,0,2,3,4,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
10822744806,1,1,5,3,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10822739791,1,0,4,3,0,2,2,4,1,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
10822738869,1,1,5,2,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
10822719977,1,1,1,0,0,0,1,0,0,3,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10822719883,4,0,4,3,0,3,3,0,0,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
10822708576,2,1,5,1,0,1,0,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
10822688627,1,1,5,3,0,2,1,0,0,6,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10822676002,1,1,1,1,0,0,1,2,1,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10822671356,1,0,4,3,0,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10822491612,2,1,5,2,0,2,2,2,0,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
10822484878,1,1,3,3,0,2,2,4,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
10822434440,1,1,5,1,0,1,0,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
10822402559,1,0,1,3,0,1,2,4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
10822345008,1,0,5,1,0,2,0,2,1,6,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
10822338742,1,0,2,0,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
10822315861,1,1,5,3,0,1,0,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10822280853,3,0,2,3,0,2,2,0,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10822276174,2,1,1,3,1,2,2,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
10822275010,1,1,5,3,0,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10822241531,4,1,1,3,0,2,2,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
10822155854,1,1,5,2,0,2,1,4,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
10822155517,2,0,5,2,0,1,2,4,0,6,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
10822144984,1,1,1,3,0,3,3,3,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
10822106496,1,0,2,3,0,2,2,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10822083172,1,0,5,3,0,2,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10822075716,1,0,4,2,0,1,2,4,1,5,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
10822068040,1,0,1,1,0,2,2,3,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10822056141,1,0,3,3,0,3,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
10822038250,1,0,1,3,1,2,4,0,0,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
10822016018,1,1,3,1,0,4,2,4,1,5,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
10821984688,1,0,0,0,1,2,2,4,0,5,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
