respid,collect.id,startdate,enddate,freq.visit,freq.other,access.train,access.unitrans,access.amtrakbus,access.park,access.enjoy,access.other,time.visit,time.other,duration.visit,who.with,with.other,tripstart,start.other,tripend,end.other,zip,access.mode,access.other,walk.far,walk.issues,walk.weather,walk.safety,walk.facilities,bike.facilities,bike.far,bike.notown,bike.network,bike.safety,bike.ability,bike.weather,bike.amenities,bike.issues,bike.never,bike.parking,transit.farhome,transit.farwork,transit.time,transit.costs,transit.complex,transit.safety,transit.routes,transit.times,transit.frequency,transit.parkingcheap,transit.never,transit.unreliable,safety.satisfied,bike.satisfied,walk.satisfied,transit.satisfied,driving.satisfied,parking.satisfied,activity.satisfied,architecture.enjoy,access.enjoy,clean.enjoy,quiet.ejoy,lively.enjoy,parking.enjoy,useful.enjoy,other.enjoy,bus.support,signs.support,pedestrian.support,dropoff.support,bikepark.support,carpark.support,bathroom.support,art.support,coffee.support,bikevalet.support,stores.support,housing.support,office.support,plaza.support,cultural.support,evcharge.support,indoorbike.support,openresponse,noneed.prevent,difficult.prevent,parking.prevent,safety.prevent,trainservice.prevent,activity.prevent,bus.encourage,signs.encourage,pedestrain.encourage,dropoff.encourage,bikepark.encourage,carpark.encourage,bathroom.encourage,art.encourage,coffee.encourage,bikevalet.enocurage,store.encourage,housing.encourage,office.encourage,activespace.encourage,performance.encourage,openspace.encourage,plaza.encourage,cultural.encourage,evcharge.encourage,trainservice.encourage,future.vision,zipcode,updates,gender,gender.other,lgbt,asian,black.african,Caucasian,hispanic.latinx,native.american,pacific.island,ethnicity.notsay,ethnicity.other,age,hh.ft.wrkr,hhincome,hhvehicles
10834722897,235066737,2019-07-01 21:46:05,2019-07-01 22:28:13,5 or more days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,I commute to Davis from Roseville via Capitol Corridor (CC) with bike for first and last mile,Other (please specify),Sometimes during the day to access CC to get to meetings in Sac or Solano Co.,5-30 minutes,A group of friends or colleagues.,,Other (please specify),From Placer County (Roseville via CC),Other (please specify),south Davis,95747,Other (please specify),AM via CC.  PM via bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,,Historic architecture,,,,,,Useful transportation services,Bike rack and Bike Link lockers,Support,,Support,Support,Strongly support,Neutral,Strongly support,Support,Support,Strongly support,Support,Support,Support,Support,,Support,Strongly support,More direct access points on the east and south side of the station. Consider bike/ped grade separation for access from/to the south of the tracks along with multi modal parking.   This could help reduce congestion on the north side as this is the only way to access currently.  Currently need 4 way stop or future traffic circle at the intersection of 2nd and H Street.   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,,No,,,Caucasian,,,,,,55-64,,"Between $75,000 and $99,999",2
10834722047,235066737,2019-07-01 21:47:00,2019-07-01 21:48:09,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Downtown Davis,,Bay Area,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10834715372,235066737,2019-07-01 21:39:42,2019-07-01 21:46:38,2 to 4 days a week,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Downtown Davis,,Bay Area,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Historic architecture,,Clean and well-maintained,,,,Useful transportation services,,Strongly support,Neutral,Strongly support,Strongly support,Strongly support,,Strongly support,Strongly support,Strongly oppose,Strongly oppose,,Strongly oppose,Strongly oppose,Strongly support,,Neutral,Strongly oppose,How is this information going to be used? Please protect the historical integrity of the train station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,,,,,,,,,Irish/American,55-64,2,,
10834670264,235066737,2019-07-01 20:53:51,2019-07-01 20:57:03,2 to 4 days a week,,,,,,To enjoy the public spaces at the station.,,Morning and evening,,5-30 minutes,Other (please specify),My dog,Other (please specify),Nearby neighborhood,Downtown Davis,,95616,I walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10834599611,235066737,2019-07-01 19:44:31,2019-07-01 19:47:18,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat false,True,Somewhat false,Neither true nor false,True,True,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Definitely not,Definitely not,Definitely not,Maybe,Definitely not,Maybe,Maybe,Definitely not,Maybe,Yes,,95618,Yes,Female,,Prefer not to say,,,,,,,Prefer not to say,,25-34,3,"Between $15,000 and $29,999",1
10834535004,235066737,2019-07-01 18:48:52,2019-07-01 19:02:41,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,To access Amtrak bus connections.,,,,Weekends and/or holidays,,30 minutes - 1 hour,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95618,I drive with others,,First reason,,Second reason,,,,,,,,,,,,,,,,First reason,,,,,,,,,,Very Satisfied,Satisfied,Neutral,Dissatisfied,Very Satisfied,Very Satisfied,Neutral,Historic architecture,Easy to access location,Clean and well-maintained,,,Convenient parking,,,Strongly support,Neutral,Strongly support,Strongly support,Neutral,Strongly support,Neutral,Support,Support,Neutral,Neutral,Support,Support,Neutral,Support,Neutral,Neutral,"Use it for folks in Davis, not like now where it’s set up to accommodate Sacramento commuters. What are all the long distance train riders going to do if there’s no permit parking for us?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,No,,,Caucasian,,,,,,55-64,2,"Between $75,000 and $99,999",1
10833206607,235066737,2019-07-01 7:20:30,2019-07-01 7:32:48,Once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither true nor false,Somewhat true,True,Somewhat true,True,Neither true nor false,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Definitely not,Maybe,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Yes,Yes,Keep Parking for Train Passengers Only. Downtown Employees and shoppers take up spaces that were intended for Train Patrons.   Add additional Train patron Parking. Improve downtown parking for employees and downtown patrons. ,95620,Yes,Other (please specify),Superior In Everyway,Prefer not to say,,,,,,,,Shimbazwi Americana ,45-54,2,"Over $150,000",4 or more
10832105579,235066737,2019-06-30 16:08:49,2019-06-30 16:13:14,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,To pick up or drop off friends who are using the train service,During the day,,5-30 minutes,"I travel with a friend, colleague, or family member.",,Somewhere else in Davis,,Bay Area,,95616,I bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Historic architecture,Easy to access location,Clean and well-maintained,,,,Useful transportation services,,Neutral,Strongly support,Strongly support,Support,Strongly support,Strongly oppose,Support,Support,Strongly support,Support,Oppose,Neutral,Neutral,Support,Support,Neutral,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Female,,Yes,,,,,,,,White (caucasian is a flawed term and should not be used in this context),25-34,4 or more,"Between $100,000 and $150,000",3
10832064385,235066737,2019-06-30 15:10:17,2019-06-30 15:15:57,Once a month,,"To access train service (including Capitol Corridor, California Zephyr, and Coast Starlight).",,,,,,Morning and evening,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Bay Area,,95616,I bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Very Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Satisfied,Historic architecture,Easy to access location,,,,,,,Neutral,Neutral,Neutral,Support,Support,Support,Support,Strongly support,Oppose,Support,Oppose,Strongly support,Oppose,Neutral,Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,45-54,2,,2
10831980524,235066737,2019-06-30 13:15:29,2019-06-30 13:18:57,Once a month,,,,,I park at the station when I visit Downtown Davis.,,,Evening only,,5-30 minutes,I'm always alone.,,Somewhere else in Davis,,Somewhere else in Davis,,95616,I drive alone,,First reason,,,,,,,First reason,,,,,,,,,,,First reason,,,,,,,,,,Neutral,Neutral,Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Historic architecture,Easy to access location,,,,,Useful transportation services,,Neutral,Neutral,Support,Support,Support,Support,Neutral,Support,Oppose,Neutral,Strongly oppose,Strongly oppose,Oppose,Neutral,Neutral,Support,Neutral,Usually I just park for 10 min to pick up pizza from Village Bakery. It would be nice to have some short-term (20 min) parking spots in this area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Female,,No,,,Caucasian,,,,,,35-44,2,"Over $150,000",2
